id	latitude	longitude	tree_type	height(m)
1	39.800106	32.718511	pine	28.45
2	39.918065	32.905915	apple	27.5
3	39.860089	32.659906	apple	26.76
4	39.883401	32.863867	apple	12.84
5	40.040674	32.728221	pine	26.96
6	39.73681	32.795981	apple	17.3
7	39.721802	32.653112	plane	3.11
8	39.787671	32.966298	pine	18.26
9	40.07987	32.771959	apple	18.05
10	40.045991	32.8626	pine	6.31
11	39.766286	32.929461	plane	24.0
12	39.816739	32.863543	plane	28.56
13	39.758714	32.93524	plane	7.87
14	39.823139	32.78149	apple	4.87
15	39.995299	32.779506	apple	21.65
16	39.725621	32.83867	plane	10.73
17	39.961139	32.762648	plane	21.09
18	40.044559	32.626321	pine	22.35
19	39.703633	32.726213	plane	14.98
20	39.914151	32.847795	plane	12.56
21	40.068455	32.857838	plane	2.87
22	39.949541	32.992385	pine	25.79
23	40.018106	32.682099	pine	10.45
24	39.743734	32.726732	apple	11.1
25	39.956325	32.941016	plane	4.26
26	39.818249	32.868565	apple	21.35
27	39.799761	32.693211	apple	7.32
28	39.829472	32.879815	plane	7.08
29	39.870043	32.832045	pine	16.05
30	40.05435	32.71441	apple	3.19
31	39.816233	32.964446	plane	27.58
32	39.941025	32.950035	apple	10.15
33	39.994911	32.939578	pine	7.49
34	39.925888	32.923397	plane	19.74
35	39.911102	32.97814	apple	9.1
36	39.893421	32.979692	apple	19.99
37	40.076546	32.663537	pine	14.59
38	40.007883	32.939247	plane	27.25
39	39.936949	32.771117	plane	8.39
40	39.830458	32.885906	plane	23.35
41	39.811013	32.990311	pine	17.62
42	39.730688	32.981707	plane	4.04
43	39.859897	32.756412	plane	23.48
44	39.966748	32.813249	apple	26.75
45	39.989785	32.978633	pine	15.79
46	39.908659	32.651681	plane	9.59
47	39.862647	32.919083	pine	16.63
48	39.903139	32.812356	plane	29.57
49	39.706553	32.982287	pine	9.2
50	40.00554	32.926412	plane	28.36
51	40.072997	32.604844	plane	26.23
52	40.013781	32.728458	pine	10.37
53	39.868097	32.859824	apple	24.35
54	40.036862	32.661512	pine	20.27
55	39.864668	32.78661	plane	8.54
56	39.737242	32.681962	apple	5.33
57	40.012509	32.829858	apple	12.65
58	39.726081	32.80022	apple	20.71
59	39.762924	32.928356	plane	25.4
60	39.708818	32.777093	pine	15.38
61	39.744274	32.940587	apple	29.48
62	39.931776	32.647798	pine	4.05
63	39.995247	32.656534	plane	27.75
64	39.750365	32.712262	plane	16.18
65	39.991547	32.93304	plane	28.84
66	39.867789	32.755641	apple	22.97
67	39.734273	32.790984	apple	17.82
68	39.90152	32.857347	plane	16.22
69	39.708346	32.975316	pine	9.09
70	39.899702	32.710776	apple	10.24
71	40.066794	32.662823	pine	7.84
72	39.986933	32.974739	apple	25.93
73	39.714534	32.942535	pine	28.44
74	40.034822	32.602428	pine	19.14
75	39.81061	32.723873	pine	26.5
76	39.704374	32.991559	plane	6.7
77	39.802016	32.814887	plane	12.74
78	39.873064	32.709056	plane	18.87
79	39.758886	32.672057	apple	17.02
80	39.984109	32.668982	plane	14.38
81	39.972702	32.708938	apple	15.74
82	39.7223	32.682891	apple	10.31
83	39.962755	32.725037	plane	13.71
84	39.922647	32.891618	plane	9.95
85	39.742327	32.794757	apple	11.7
86	39.906627	32.708912	apple	21.01
87	39.959701	32.74488	apple	10.66
88	39.73637	32.838721	apple	21.14
89	40.08981	32.776301	pine	21.82
90	39.877872	32.714492	plane	13.34
